device_id,timestamp,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:57,0.1415,14.23,8.02,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:58,0.2779,36.41,10.05,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:53:59,0.2756,36.09,10.02,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:00,0.2786,36.42,10.05,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:01,0.2786,36.42,10.05,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:02,0.2786,36.39,10.09,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:03,0.2801,36.45,10.13,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:04,0.2786,36.39,10.09,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:05,0.2809,36.45,10.12,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:06,0.2816,36.49,10.16,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:07,0.2809,36.52,10.15,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
38a810ebdd0b91253efbaf708316ec74cb659ccc6bfdd915df06a4ab2b31f877,2022-04-20 11:54:08,0.2809,36.52,10.15,112565,monitor,GB,gigabyte,office,34 inch gaming monitor,0
